file,surface_count,touch_count,max_nn_dist,mean_nn_dist,median_nn_dist,cov_0.005,cov_0.01,cov_0.02,cov_0.05
mug__03797390__1038e4eac0e18dcce02ae6d2a21d494a__models__model_normalized.npz,235000,1500000,0.29356130893067484,0.042843583935328236,0.00982651777007164,0.35846382978723407,0.5019361702127659,0.5639829787234043,0.6826851063829787
mug__03797390__10c2b3eac377b9084b3c42e318f3affc__models__model_normalized.npz,235000,1500000,0.3853010577111786,0.02816262480101276,0.005363111931958986,0.47707659574468086,0.6246851063829787,0.6947787234042553,0.8264553191489362
mug__03797390__10f6e09036350e92b3f21f1137c3c347__models__model_normalized.npz,235000,1500000,0.35867223619869215,0.027371940462637526,0.011716049940873849,0.2827148936170213,0.47529787234042553,0.6773957446808511,0.8594212765957446
mug__03797390__127944b6dabee1c9e20e92c5b8147e4a__models__model_normalized.npz,235000,1500000,0.49405637613228737,0.030363022410427452,0.02116278293945185,0.2721148936170213,0.3927276595744681,0.4466340425531915,0.8474297872340426
mug__03797390__128ecbc10df5b05d96eaf1340564a4de__models__model_normalized.npz,235000,1500000,0.24783197869339582,0.06348043375144509,0.06747190908605222,0.21359574468085107,0.2688042553191489,0.31402978723404257,0.43564255319148937
mug__03797390__1305b9266d38eb4d9f818dd0aa1a251__models__model_normalized.npz,235000,1500000,0.318712566903777,0.06164381749678408,0.07492048888815507,0.23885531914893618,0.3163404255319149,0.3526340425531915,0.4298851063829787
mug__03797390__141f1db25095b16dcfb3760e4293e310__models__model_normalized.npz,235000,1500000,0.258802665169413,0.06089186870519305,0.03801176297822173,0.21660851063829786,0.3686382978723404,0.43586382978723404,0.5374170212765957
mug__03797390__159e56c18906830278d8f8c02c47cde0__models__model_normalized.npz,235000,1500000,0.23320930468795684,0.03347682847885547,0.036664614731949804,0.30184255319148934,0.3954,0.4372340425531915,0.8135361702127659
mug__03797390__15bd6225c209a8e3654b0ce7754570c8__models__model_normalized.npz,235000,1500000,0.27469388433671643,0.038281412756893465,0.032728083854155716,0.25746808510638297,0.3986340425531915,0.4575659574468085,0.5472085106382979
mug__03797390__162201dfe14b73f0281365259d1cf342__models__model_normalized.npz,235000,1500000,0.2926039587153658,0.03881366158427705,0.040532745293593596,0.21945957446808512,0.3577659574468085,0.4189914893617021,0.5421574468085106
mug__03797390__17952a204c0a9f526c69dceb67157a66__models__model_normalized.npz,235000,1500000,0.2204647892488527,0.03928407357089154,0.019860224490786255,0.24711489361702127,0.3442978723404255,0.5036212765957446,0.727995744680851
